movimentacao_id,cliente_id,tipo_movimentacao,valor,data_movimentacao
1,1,depósito,673.40,2025-01-07
2,2,depósito,905.89,2025-04-03
3,3,depósito,3122.45,2025-04-15
4,4,transferência,3922.31,2025-03-10
5,5,transferência,4124.00,2025-02-06
6,6,saque,3786.12,2025-03-16
7,7,saque,4141.64,2025-04-11
8,8,saque,567.63,2025-01-29
9,9,transferência,271.87,2025-04-16
10,10,transferência,2286.81,2025-02-16
11,11,saque,2450.08,2025-01-08
12,12,transferência,3042.86,2025-03-17
13,13,depósito,1659.94,2025-05-03
14,14,transferência,2614.48,2025-04-06
15,15,saque,1683.38,2025-02-06
16,16,depósito,3040.82,2025-01-13
17,17,transferência,2801.33,2025-01-07
18,18,transferência,68.61,2025-05-07
19,19,saque,1628.84,2025-04-30
20,20,depósito,4188.05,2025-02-07
21,21,saque,2484.21,2025-01-03
22,22,depósito,1994.24,2025-04-17
23,23,transferência,603.93,2025-04-04
24,24,saque,3217.65,2025-04-05
25,25,saque,475.07,2025-01-23
26,26,transferência,1371.47,2025-02-12
27,27,saque,3547.37,2025-02-04
28,28,depósito,465.12,2025-02-07
29,29,saque,4082.71,2025-04-17
30,30,depósito,4979.05,2025-03-17
31,31,transferência,4316.97,2025-01-10
32,32,depósito,3397.81,2025-02-17
33,33,saque,4474.63,2025-03-24
34,34,saque,502.88,2025-03-20
35,35,saque,4627.75,2025-03-29
36,36,depósito,1726.49,2025-03-21
37,37,transferência,145.02,2025-05-03
38,38,depósito,1671.77,2025-01-14
39,39,depósito,912.83,2025-02-10
40,40,transferência,944.92,2025-03-24
41,41,depósito,673.64,2025-03-15
42,42,transferência,2140.77,2025-01-18
43,43,saque,3431.58,2025-03-06
44,44,saque,2163.16,2025-03-01
45,45,saque,2090.07,2025-04-04
46,46,depósito,2102.64,2025-04-02
47,47,depósito,233.06,2025-03-06
48,48,depósito,1423.89,2025-04-03
49,49,saque,1996.12,2025-03-12
50,50,transferência,4738.56,2025-04-10
51,51,saque,4431.49,2025-03-22
52,52,depósito,2908.63,2025-05-07
53,53,transferência,1201.30,2025-01-23
54,54,transferência,88.24,2025-04-17
55,55,transferência,2195.32,2025-01-05
56,56,saque,1568.46,2025-03-15
57,57,depósito,2885.69,2025-03-12
58,58,saque,2687.23,2025-03-02
59,59,transferência,414.17,2025-01-11
60,60,transferência,966.55,2025-03-16
61,61,transferência,3415.67,2025-01-16
62,62,saque,3887.37,2025-01-24
63,63,depósito,2033.13,2025-01-23
64,64,transferência,279.05,2025-01-17
65,65,depósito,1149.63,2025-02-15
66,66,transferência,1993.30,2025-04-17
67,67,depósito,1308.09,2025-02-25
68,68,saque,4816.37,2025-02-09
69,69,transferência,2322.94,2025-02-25
70,70,transferência,2575.76,2025-03-01
71,71,saque,2802.34,2025-02-14
72,72,depósito,4390.64,2025-03-30
73,73,depósito,3216.40,2025-01-22
74,74,saque,836.92,2025-02-09
75,75,transferência,3133.53,2025-01-21
76,76,saque,4875.22,2025-01-17
77,77,depósito,1925.78,2025-03-26
78,78,transferência,2370.92,2025-04-07
79,79,depósito,3478.06,2025-04-12
80,80,depósito,245.30,2025-03-17
81,81,transferência,523.11,2025-05-07
82,82,depósito,2271.09,2025-03-24
83,83,transferência,3564.41,2025-03-10
84,84,saque,3894.02,2025-02-18
85,85,saque,4261.01,2025-03-12
86,86,transferência,3857.67,2025-04-24
87,87,depósito,3888.11,2025-04-30
88,88,saque,2704.37,2025-03-20
89,89,depósito,3715.14,2025-03-02
90,90,depósito,4433.24,2025-04-19
91,91,transferência,3758.61,2025-04-02
92,92,depósito,3116.61,2025-04-21
93,93,depósito,2004.02,2025-03-08
94,94,depósito,4345.96,2025-02-08
95,95,transferência,1003.33,2025-01-25
96,96,transferência,735.51,2025-02-17
97,97,transferência,939.80,2025-02-24
98,98,saque,2013.58,2025-03-27
99,99,saque,3451.81,2025-01-31
100,100,transferência,1647.28,2025-01-31
101,101,saque,1463.00,2025-01-22
102,102,transferência,4227.08,2025-05-02
103,103,transferência,1173.52,2025-03-06
104,104,saque,3865.02,2025-02-21
105,105,depósito,510.95,2025-04-07
106,106,depósito,2247.54,2025-02-06
107,107,transferência,3144.40,2025-01-29
108,108,depósito,4246.78,2025-01-20
109,109,transferência,271.96,2025-04-28
110,110,saque,4349.62,2025-02-25
111,111,depósito,960.48,2025-02-21
112,112,depósito,1120.08,2025-02-11
113,113,depósito,719.99,2025-04-30
114,114,saque,2648.87,2025-02-22
115,115,depósito,4325.50,2025-01-15
116,116,saque,221.40,2025-05-02
117,117,depósito,4964.92,2025-03-10
118,118,transferência,95.70,2025-03-26
119,119,saque,3936.16,2025-04-23
120,120,depósito,1823.63,2025-02-04
121,121,depósito,723.21,2025-02-07
122,122,saque,3251.96,2025-01-17
123,123,saque,465.90,2025-01-02
124,124,transferência,4910.90,2025-03-31
125,125,saque,2554.87,2025-01-05
126,126,depósito,1202.15,2025-04-03
127,127,depósito,2367.65,2025-04-02
128,128,transferência,4775.95,2025-02-17
129,129,depósito,4463.52,2025-03-02
130,130,depósito,1615.87,2025-02-19
131,131,saque,3871.47,2025-04-01
132,132,depósito,2724.41,2025-04-16
133,133,saque,1841.56,2025-03-03
134,134,depósito,4569.57,2025-02-24
135,135,transferência,3356.05,2025-04-15
136,136,transferência,4639.82,2025-03-19
137,137,depósito,2482.71,2025-04-16
138,138,transferência,617.66,2025-02-02
139,139,depósito,2719.17,2025-03-14
140,140,saque,1589.85,2025-02-23
141,141,transferência,750.23,2025-04-16
142,142,saque,1239.73,2025-04-30
143,143,saque,3533.18,2025-05-05
144,144,depósito,2442.08,2025-02-09
145,145,depósito,4996.24,2025-03-05
146,146,saque,3801.96,2025-01-09
147,147,saque,3392.81,2025-03-18
148,148,transferência,2954.43,2025-04-08
149,149,transferência,1625.29,2025-02-22
150,150,transferência,999.89,2025-04-05
