pagamento_id,cliente_id,valor,data_pagamento
1,1,810.00,2025-01-03
2,2,453.16,2025-02-14
3,3,712.37,2025-03-20
4,4,508.32,2025-01-30
5,5,319.54,2025-04-26
6,6,42.80,2025-01-11
7,7,373.69,2025-02-22
8,8,271.57,2025-02-10
9,9,381.77,2025-02-25
10,10,583.47,2025-02-27
11,11,790.11,2025-04-02
12,12,345.25,2025-01-03
13,13,594.83,2025-02-14
14,14,560.68,2025-05-07
15,15,486.13,2025-03-31
16,16,56.22,2025-01-22
17,17,107.27,2025-02-16
18,18,449.91,2025-01-08
19,19,977.33,2025-03-12
20,20,859.80,2025-01-27
21,21,763.84,2025-03-11
22,22,578.81,2025-02-23
23,23,932.96,2025-03-26
24,24,644.57,2025-03-11
25,25,866.59,2025-02-15
26,26,859.27,2025-04-17
27,27,994.77,2025-02-08
28,28,515.99,2025-01-11
29,29,157.64,2025-02-23
30,30,943.52,2025-05-06
31,31,722.69,2025-01-27
32,32,275.67,2025-04-26
33,33,634.53,2025-02-11
34,34,553.46,2025-04-03
35,35,287.67,2025-04-05
36,36,135.04,2025-03-10
37,37,319.71,2025-03-13
38,38,66.03,2025-03-17
39,39,617.96,2025-01-07
40,40,422.57,2025-03-01
41,41,956.67,2025-04-20
42,42,524.51,2025-01-28
43,43,754.61,2025-02-04
44,44,27.66,2025-02-17
45,45,667.69,2025-03-24
46,46,171.09,2025-03-25
47,47,595.50,2025-04-21
48,48,53.64,2025-02-21
49,49,478.08,2025-01-13
50,50,141.66,2025-01-18
51,51,384.17,2025-04-12
52,52,323.21,2025-01-20
53,53,721.04,2025-03-29
54,54,654.54,2025-04-19
55,55,162.70,2025-04-09
56,56,597.44,2025-03-27
57,57,72.42,2025-03-23
58,58,129.90,2025-03-12
59,59,104.95,2025-05-06
60,60,345.83,2025-02-10
61,61,645.16,2025-03-18
62,62,36.13,2025-02-20
63,63,778.85,2025-02-10
64,64,511.90,2025-04-29
65,65,280.63,2025-01-28
66,66,655.71,2025-02-19
67,67,389.30,2025-03-20
68,68,626.47,2025-02-03
69,69,686.35,2025-01-25
70,70,951.76,2025-04-12
71,71,730.15,2025-04-28
72,72,899.61,2025-04-29
73,73,250.26,2025-04-28
74,74,204.97,2025-02-08
75,75,658.09,2025-04-16
76,76,440.64,2025-01-21
77,77,114.11,2025-04-28
78,78,891.34,2025-01-28
79,79,742.11,2025-02-05
80,80,355.23,2025-03-21
81,81,575.60,2025-03-17
82,82,887.11,2025-04-24
83,83,783.48,2025-01-30
84,84,870.63,2025-04-24
85,85,814.58,2025-04-15
86,86,593.73,2025-03-20
87,87,47.31,2025-01-15
88,88,440.11,2025-02-21
89,89,710.64,2025-03-09
90,90,28.02,2025-04-15
91,91,705.83,2025-01-17
92,92,989.87,2025-02-15
93,93,190.03,2025-05-06
94,94,924.61,2025-02-25
95,95,977.55,2025-03-17
96,96,630.77,2025-03-28
97,97,235.01,2025-03-28
98,98,198.07,2025-04-03
99,99,735.99,2025-01-01
100,100,466.53,2025-03-02
101,101,741.36,2025-04-21
102,102,856.03,2025-05-03
103,103,855.25,2025-01-04
104,104,485.09,2025-03-26
105,105,778.60,2025-04-05
106,106,925.10,2025-01-19
107,107,620.19,2025-02-24
108,108,20.09,2025-04-01
109,109,67.20,2025-03-01
110,110,696.15,2025-03-23
111,111,263.51,2025-04-05
112,112,546.82,2025-02-11
113,113,442.78,2025-05-03
114,114,695.42,2025-04-28
115,115,393.23,2025-02-09
116,116,53.94,2025-03-07
117,117,787.06,2025-02-24
118,118,237.70,2025-04-02
119,119,920.33,2025-04-08
120,120,76.79,2025-03-17
121,121,232.82,2025-02-06
122,122,895.69,2025-04-21
123,123,214.27,2025-01-23
124,124,133.37,2025-04-01
125,125,972.02,2025-01-15
126,126,360.05,2025-04-13
127,127,243.09,2025-04-30
128,128,860.58,2025-04-02
129,129,292.96,2025-03-13
130,130,713.69,2025-02-10
131,131,649.30,2025-03-13
132,132,955.62,2025-02-23
133,133,115.88,2025-01-09
134,134,729.38,2025-01-19
135,135,624.48,2025-05-01
136,136,36.00,2025-01-22
137,137,320.15,2025-02-26
138,138,460.13,2025-02-05
139,139,91.84,2025-03-17
140,140,39.08,2025-01-03
141,141,952.27,2025-01-30
142,142,306.36,2025-04-16
143,143,406.57,2025-02-10
144,144,488.04,2025-01-28
145,145,97.69,2025-04-30
146,146,812.16,2025-03-03
